Luminosidade,m(B),m(V),Índice (B-V)
0,"9,9","8,9",1
"0,01",13,"13,2","-0,2"
"0,02","14,2","12,7","1,5"
"0,03",13,"13,2","-0,2"
"0,03","12,4","12,5","-0,1"
"0,04","13,6","12,2","1,4"
"0,4","14,6","13,8","0,8"
"0,5","11,3","10,4","0,9"
"0,6","7,4","6,7","0,7"
"0,7","8,8","7,9","0,9"
"0,7","9,8",9,"0,8"
"0,8","7,4","6,6","0,8"
"1,2","0,5","-0,1","0,6"
"1,8","8,6",8,"0,6"
"1,8","5,7","5,1","0,6"
"2,1","5,8","5,1","0,7"
"2,2",6,"5,3","0,7"
"2,9","12,6","12,2","0,4"
"3,1","9,2","8,6","0,6"
"3,1","14,2","13,6","0,6"
"4,9","12,6","12,2","0,4"
"7,5","8,4","8,2","0,2"
"7,8","12,4","12,2","0,2"
8,"2,3",2,"0,3"
"8,9","5,3",5,"0,3"
12,"9,3","9,2","0,1"
88,"7,2","7,2",0
98,"8,2","8,2",0
110,"9,1","9,2","-0,1"
210,"9,1","9,1",0
300,"9,8","9,9","-0,1"
320,"8,9",9,"-0,1"
433,"7,2","7,3","-0,1"
700,"9,8","9,9","-0,1"
780,"7,8",8,"-0,2"
5000,"5,8","4,8",1
5000,"12,9",12,"0,9"
6000,"14,3","14,5","-0,2"
8000,7,"6,2","0,8"
9000,"12,3","12,6","-0,3"
9200,"8,6","7,7","0,9"
12000,"15,6","15,8","-0,2"
14000,"13,8","14,1","-0,3"
42000,"11,1","11,5","-0,4"
44000,"11,3","11,7","-0,4"